-1.26	21.27
7.96	-20.77
6.99	-9.96
-15.91	3.33
23.31	4.27
-14.09	7.91
21.36	5.29
-2.95	-21.07
-5.26	1.18
-5.48	8.08
11.22	16.92
3.01	-11.99
-2.41	-4.85
-23.26	-1.91
24.46	2.66
-1.4	-15.86
17.17	-2.39
5.62	-12.93
-2.85	-14.29
-13.77	8.85
6.44	19.48
0.03	-10.34
-8.09	-8.81
-19.19	-4.52
17.54	4.63
6.11	-5.46
21.33	8.11
4.78	-5.18
0.44	-7.38
-14.53	9.43
0.24	26.59
-13.63	7.37
-5.02	-3.6
-6.03	-11.22
18.01	3.47
-3.19	-9.59
6.13	15.9
-13.37	9.99
-0.02	-11.68
-20.74	12.82
-4.39	-10.77
25.05	0.77
2.82	-9.29
5.66	-10.37
-3.56	-18.92
-20.85	3.08
3.01	-11.39
1.64	-10.74
5.02	20.77
3.94	20.88
