-1.26	21.27
7.96	-20.77
6.99	-9.96
-15.91	3.33
21.36	8.29
14.77	17.14
19.45	-4.41
-7.71	-19.19
7.91	-10.86
-6.15	-5.71
6.31	20.1
-18.42	11.8
-1.28	0.97
2.99	-9.24
2.75	-11.29
6.56	-13.93
-3.43	22.84
-1.26	23.8
0.19	-15.57
1.34	-19.62
21.7	7.18
-20.24	-5.36
-3.73	-2.33
7.5	-20.86
6.52	-3.71
18.2	-13.21
22.07	2.24
-24.1	-1.81
0.86	-7.07
16.83	-1.39
18.75	2.69
2.37	-17.66
-2	-10.53
3.61	-11.31
2.84	-7.49
-4.98	-4.54
-3.19	-16.2
0.29	-15.95
-11.93	11.52
-3.32	-3.67
16.71	-12.12
0.05	-18.77
-3.65	-14.98
24.51	1.22
-16.19	-0.52
7.65	21.09
1.77	-10.77
-15.35	13.88
4.32	-15.59
2.02	24.14
-3.91	3.83
-8.44	-7.62
-19.63	-12
18.42	-14.95
-0.99	-13.18
14.56	17.15
1.07	-17.98
1.21	-5.26
-18.3	14.03
19.64	-12.42
6.28	-2.24
20.02	6.83
3.86	-19.63
7.17	-12.27
-16.2	11.62
6.02	20.84
-12.96	8.28
1.56	-15.38
5.05	-10.99
18.2	15.43
2.42	-10.29
4.29	22.58
-14.51	12.32
3.65	-6.8
-16.94	12.66
4.05	-12.54
25.34	-12.59
-2.31	-3.41
0.13	-20.01
-2.23	-19.54
-21.54	-8.63
-2.48	-9.62
-1.92	3.65
2.81	24.27
10.78	16.17
-9.58	-9.77
-9.73	-12.54
0.77	-22.19
-5.09	-0.97
0.24	-4.68
5.33	1.09
1.98	20.73
-6.92	-13.63
0.96	-14.2
26.41	-4.16
13.96	16.81
-25.22	-2.73
10.93	-23.1
-17.07	12.49
16.78	6.69
17.43	16.01
14.01	15.7
-21.04	10.02
-14.88	14.46
-16.3	-3.59
-8.74	6.15
-12.13	-10.5
-6.99	19.82
-7.19	23.95
-2.52	-2.36
-2.56	-17.74
10.64	16.6
-7.91	14.16
-11.97	-11.25
3.78	-4.56
21.65	14.01
19.93	8.22
-21.63	8.55
-1.97	-5.46
-12.77	10.26
-13.75	14.18
-2.2	-5.85
5.36	-14.12
16.56	11.85
-6.43	4.91
-13.64	-11.25
-21.18	10.51
-11.76	4.73
1.01	21.12
6.54	-15.94
-11.53	-4.25
-23.14	5.44
17	-1.86
1.74	-12.01
12.79	16.64
-5.36	-18.29
1.53	-3.92
-12.88	-0.96
3.76	26.31
8.85	-17
-8.67	-7.68
-23.39	5.35
14.49	1.05
-4.62	-10.56
11.12	19.38
-0.04	-16
-11.21	-15.33
-10.9	7.63
2.14	22.9
8.69	-24.76
-15.19	-3.07
-24.58	3.21
21.26	1.02
-4.03	6.21
17.2	12.43
-1.26	-14.46
-8.31	0.71
-12.3	7.38
-2.84	23.97
-7.92	-0.14
3.38	-4.79
1.26	-7.67
18.89	6.02
9.15	-10.92
7.12	25.65
-13.06	6.92
-4.52	-0.58
-8.56	4.91
-3.84	-6.49
16.47	6.66
9.16	-19.76
-4.96	-15.27
-3.03	-14.76
-24.18	2.59
-6.65	-1
12.57	-22.27
4.71	18.38
0.3	20.04
-5.55	-15.18
-9.45	-17.4
-15.5	-7.96
-5.09	27.38
17.16	-11.66
-14.28	-5.14
16.59	7.09
-31.17	8.26
-28.4	3.18
-3.81	-19.75
-28.86	7.51
-3.31	22.17
-11.3	-4.46
2.4	-12.64
-13	-3.62
-10.21	-2.42
-19.14	-0.76
1.4	28.03
-0.68	30.09
-7.75	4.83
7.97	-23.31
1.46	-15.79
13.63	12.12
-6.42	-3.77
20.19	-6.29
-27.08	6.02
14.42	-15.64
23.32	2.9
-0.76	21.87
1.39	-2.26
-1.69	1.99
-10.98	-5.38
-30.26	0.15
23.46	11.09
-9.57	16.11
9.36	0.9
-4.62	-18.5
2.73	-10.01
-20.59	13.9
8.28	24.39
6.71	-17.12
-8.55	0.14
-25.85	5.91
20.53	17.86
-12.56	6.13
10.84	2.77
-8.85	-17.23
1.67	-13.35
-21.33	11.62
5.24	27.91
-2.59	7.19
-10.11	-5.57
-21.23	6.16
18.37	7.27
2.01	4.56
10.99	8.74
-12.69	-18.4
2.82	-13.78
-20.16	13.43
-2.77	28.99
-19.35	13.02
-4.96	5.04
1.33	4.05
11.99	8.99
-6.08	-4.37
9.34	13.65
-14.12	11.25
-1.52	-14.96
-11.74	11.06
2.82	-14.03
24.55	12.46
10.28	-23.55
-9.12	-13.02
-12.69	-16.02
-24.28	6.21
-6.33	-19.13
-25.5	9.14
-28.37	12.04
23.41	10.74
13.1	11.17
13.69	11.25
14.91	11.22
29.48	6.67
-14.78	10.94
-0.41	13.56
5.01	20.33
-19.4	13.32
8.89	7.57
-17.65	-7.71
3.03	-6.7
-12.68	10.82
-1.42	22.16
-0.91	22.74
4.37	-7.78
-8.38	-20.51
13.84	4.31
-25.11	2.19
-10.27	-5.22
1.41	-19.97
-1.48	-18.48
24.75	10.31
10.78	-21.91
-13.61	-5.15
0.4	-13.46
8.78	-25.8
-9.18	-15.88
19.19	6.84
7.79	-0.91
28.29	4.32
-20.62	-5.4
6.25	-26.51
26.28	-3.04
4.57	-11.49
4.51	-19.19
-2.71	-6.87
-14.61	-2.62
9.91	-6.09
-2.21	-13.3
3.55	-17.97
10.8	-6.96
-4.87	12.42
-0.34	6.37
